frame,time,direction,hex,raw_packet,packet
648,13.846202,H->D,0c992000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 153, attribute: 16 }, payload: b"""" }",CmdGetPdData
649,13.846250,H->D,,-,-
650,13.846289,D->H,419982001000000317570800050000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 153, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x17W\x08\0\x05\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""\x17W\x08\0\x05\0\0\0\0\0\xa5\x0c"")"
651,13.846725,D->H,,-,-
652,13.886125,H->D,0c9a2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 154, attribute: 16 }, payload: b"""" }",CmdGetPdData
653,13.886184,H->D,,-,-
654,13.886214,D->H,419a8200100000033f570800040000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 154, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""?W\x08\0\x04\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""?W\x08\0\x04\0\0\0\0\0\xa5\x0c"")"
655,13.886720,D->H,,-,-
656,13.926244,H->D,0c9b2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 155, attribute: 16 }, payload: b"""" }",CmdGetPdData
657,13.926289,H->D,,-,-
658,13.926329,D->H,419b82001000000367570800020000000000a50c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 155, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""gW\x08\0\x02\0\0\0\0\0\xa5\x0c"" }","PdRawData(b""gW\x08\0\x02\0\0\0\0\0\xa5\x0c"")"
659,13.926966,D->H,,-,-
660,13.971262,H->D,0c9c2000,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 156, attribute: 16 }, payload: b"""" }",CmdGetPdData
661,13.971298,H->D,,-,-
662,13.971332,D->H,419c82001000000394570800040000000000a30c,"Data { header: DataHeader { packet_type: 65, flag: false, id: 156, obj_count_words: 2 }, extended: ExtendedHeader { attribute: 16, next: false, chunk: 0, size: 12 }, payload: b""\x94W\x08\0\x04\0\0\0\0\0\xa3\x0c"" }","PdRawData(b""\x94W\x08\0\x04\0\0\0\0\0\xa3\x0c"")"
663,13.971778,D->H,,-,-
664,13.986002,H->D,0c9d0200,"Ctrl { header: CtrlHeader { packet_type: 12, flag: false, id: 157, attribute: 1 }, payload: b"""" }",CmdGetSimpleAdcData
665,13.986028,H->D,,-,-
